date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-24 00:00:00.000,2012-11-24 14:16:32.367,2012-11-24 14:20:59.394,1353733200000,1353784592367,1353784859394,267027,3,3,1,35,35,4
2012-11-24 00:00:00.000,2012-11-24 14:25:33.791,2012-11-24 14:29:56.823,1353733200000,1353785133791,1353785396823,263032,3,0,2,4,4,1
2012-11-24 00:00:00.000,2012-11-24 14:32:58.115,2012-11-24 14:36:19.143,1353733200000,1353785578115,1353785779143,201028,0,0,1,2,2,1
2012-11-24 00:00:00.000,2012-11-24 14:41:30.839,2012-11-24 15:21:40.901,1353733200000,1353786090839,1353788500901,2410062,70,41,68,234,234,85
2012-11-24 00:00:00.000,2012-11-24 15:22:10.108,2012-11-24 15:25:29.142,1353733200000,1353788530108,1353788729142,199034,1,0,0,3,3,1
2012-11-24 00:00:00.000,2012-11-24 15:27:55.383,2012-11-24 15:31:25.410,1353733200000,1353788875383,1353789085410,210027,2,0,2,3,3,1
2012-11-24 00:00:00.000,2012-11-24 15:44:48.042,2012-11-24 15:49:43.108,1353733200000,1353789888042,1353790183108,295066,2,0,2,5,5,1
2012-11-24 00:00:00.000,2012-11-24 15:51:26.259,2012-11-24 16:05:27.285,1353733200000,1353790286259,1353791127285,841026,36,14,30,170,170,29
2012-11-24 00:00:00.000,2012-11-24 16:14:28.900,2012-11-24 16:30:26.970,1353733200000,1353791668900,1353792626970,958070,17,0,11,37,37,1
2012-11-24 00:00:00.000,2012-11-24 16:53:06.999,2012-11-24 16:56:16.031,1353733200000,1353793986999,1353794176031,189032,1,0,1,2,2,1
2012-11-25 00:00:00.000,2012-11-25 11:32:56.847,2012-11-25 11:36:28.875,1353819600000,1353861176847,1353861388875,212028,1,2,0,7,6,3
2012-11-25 00:00:00.000,2012-11-25 12:52:57.445,2012-11-25 12:56:14.479,1353819600000,1353865977445,1353866174479,197034,0,5,0,17,18,6
2012-11-25 00:00:00.000,2012-11-25 13:18:23.067,2012-11-25 13:21:27.083,1353819600000,1353867503067,1353867687083,184016,0,2,0,0,0,3
2012-11-25 00:00:00.000,2012-11-25 13:26:53.424,2012-11-25 13:32:10.452,1353819600000,1353868013424,1353868330452,317028,9,3,0,42,41,14
2012-11-25 00:00:00.000,2012-11-25 13:34:55.526,2012-11-25 13:51:35.591,1353819600000,1353868495526,1353869495591,1000065,9,6,0,21,21,8
2012-11-25 00:00:00.000,2012-11-25 13:54:25.756,2012-11-25 13:58:12.820,1353819600000,1353869665756,1353869892820,227064,0,8,0,27,27,9
2012-11-25 00:00:00.000,2012-11-25 14:11:54.186,2012-11-25 14:15:00.213,1353819600000,1353870714186,1353870900213,186027,0,0,0,2,2,1
2012-11-25 00:00:00.000,2012-11-25 14:46:24.813,2012-11-25 14:49:51.847,1353819600000,1353872784813,1353872991847,207034,3,0,0,4,4,1
2012-11-25 00:00:00.000,2012-11-25 14:51:29.373,2012-11-25 15:09:38.437,1353819600000,1353873089373,1353874178437,1089064,27,28,0,81,81,40
2012-11-25 00:00:00.000,2012-11-25 15:16:04.887,2012-11-25 15:19:41.940,1353819600000,1353874564887,1353874781940,217053,1,5,0,3,3,6
2012-11-25 00:00:00.000,2012-11-25 15:24:44.726,2012-11-25 15:29:39.725,1353819600000,1353875084726,1353875379725,294999,0,6,0,35,36,7
2012-11-25 00:00:00.000,2012-11-25 15:59:15.265,2012-11-25 16:04:13.333,1353819600000,1353877155265,1353877453333,298068,8,0,0,11,10,2
2012-11-25 00:00:00.000,2012-11-25 16:11:26.118,2012-11-25 16:15:40.154,1353819600000,1353877886118,1353878140154,254036,1,0,0,20,20,1
2012-11-25 00:00:00.000,2012-11-25 16:26:42.786,2012-11-25 16:33:03.827,1353819600000,1353878802786,1353879183827,381041,13,7,0,49,49,11
2012-11-25 00:00:00.000,2012-11-25 16:43:55.372,2012-11-25 16:47:21.395,1353819600000,1353879835372,1353880041395,206023,1,0,0,3,3,1
2012-11-26 00:00:00.000,2012-11-26 14:38:21.995,2012-11-26 14:42:48.916,1353906000000,1353958701995,1353958968916,266921,9,1,6,22,22,13
2012-11-26 00:00:00.000,2012-11-26 14:46:34.805,2012-11-26 14:52:10.564,1353906000000,1353959194805,1353959530564,335759,12,13,9,84,84,21
2012-11-27 00:00:00.000,2012-11-27 11:01:03.959,2012-11-27 11:04:39.384,1353992400000,1354032063959,1354032279384,215425,3,0,0,35,35,3
2012-11-27 00:00:00.000,2012-11-27 11:34:42.872,2012-11-27 11:38:11.907,1353992400000,1354034082872,1354034291907,209035,2,1,0,10,9,2
2012-11-27 00:00:00.000,2012-11-27 12:07:39.989,2012-11-27 12:11:52.416,1353992400000,1354036059989,1354036312416,252427,6,10,0,74,75,12
2012-11-27 00:00:00.000,2012-11-27 13:16:20.850,2012-11-27 13:20:05.913,1353992400000,1354040180850,1354040405913,225063,3,0,0,5,4,2
2012-11-27 00:00:00.000,2012-11-27 13:29:25.702,2012-11-27 13:32:32.717,1353992400000,1354040965702,1354041152717,187015,0,1,0,2,3,2
2012-11-27 00:00:00.000,2012-11-27 13:32:35.486,2012-11-27 13:36:31.551,1353992400000,1354041155486,1354041391551,236065,2,11,0,25,24,12
2012-11-27 00:00:00.000,2012-11-27 14:06:56.668,2012-11-27 14:16:52.721,1353992400000,1354043216668,1354043812721,596053,8,1,0,90,90,5
2012-11-27 00:00:00.000,2012-11-27 14:34:02.224,2012-11-27 14:37:48.579,1353992400000,1354044842224,1354045068579,226355,5,12,0,70,71,14
2012-11-27 00:00:00.000,2012-11-27 14:39:10.957,2012-11-27 14:45:55.355,1353992400000,1354045150957,1354045555355,404398,7,0,0,94,94,2
2012-11-27 00:00:00.000,2012-11-27 14:48:28.578,2012-11-27 15:11:40.174,1353992400000,1354045708578,1354047100174,1391596,14,3,0,87,87,12
