date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-08-10 00:00:00.000	2012-08-10 06:24:12.125	2012-08-10 21:53:03.491	1344556800000	1344579852125	1344635583491	20	21170268	34097418	0	1	373	60	103	59	41	53	57	369	0	0	
2012-08-11 00:00:00.000	2012-08-11 06:23:54.704	2012-08-11 21:53:01.488	1344643200000	1344666234704	1344721981488	40	14335429	41159679	0	2	252	38	61	30	31	41	51	248	0	0	
2012-08-12 00:00:00.000	2012-08-12 06:24:04.138	2012-08-12 23:59:50.620	1344729600000	1344752644138	1344815990620	57	13733907	49381982	1054	3	242	44	65	24	35	36	38	238	5	2	
2012-08-13 00:00:00.000	2012-08-13 00:00:03.633	2012-08-13 21:52:29.725	1344816000000	1344816003633	1344894749725	38	16068134	62218357	28	2	283	46	68	39	43	47	40	281	2	1	
2012-08-14 00:00:00.000	2012-08-14 06:23:39.448	2012-08-14 21:52:26.777	1344902400000	1344925419448	1344981146777	75	16640360	38546265	81	4	294	53	67	33	46	45	50	292	4	2	
2012-08-15 00:00:00.000	2012-08-15 06:23:48.569	2012-08-15 21:52:16.540	1344988800000	1345011828569	1345067536540	116	9903644	45676247	1966	6	178	27	44	24	30	22	31	173	7	3	
2012-08-16 00:00:00.000	2012-08-16 06:23:30.867	2012-08-16 21:52:03.885	1345075200000	1345098210867	1345153923885	77	13393191	41901358	986	4	234	30	55	32	40	46	31	232	2	1	
2012-08-17 00:00:00.000	2012-08-17 06:23:24.915	2012-08-17 21:52:24.578	1345161600000	1345184604915	1345240344578	20	21708618	33440101	0	1	379	71	91	49	53	62	53	377	0	0	
2012-08-18 00:00:00.000	2012-08-18 06:23:21.163	2012-08-18 21:52:22.224	1345248000000	1345271001163	1345326742224	41	17527554	37992964	29	2	313	51	74	50	50	39	49	307	2	1	
2012-08-19 00:00:00.000	2012-08-19 06:23:13.713	2012-08-19 23:59:59.845	1345334400000	1345357393713	1345420799845	38	12123864	50865860	51	2	213	34	47	23	37	34	38	213	2	1	
2012-08-20 00:00:00.000	2012-08-20 00:00:12.854	2012-08-20 21:52:12.939	1345420800000	1345420812854	1345499532939	22	17310278	60894823	0	1	306	48	64	44	55	46	49	305	0	0	
2012-08-21 00:00:00.000	2012-08-21 06:23:04.473	2012-08-21 21:52:06.127	1345507200000	1345530184473	1345585926127	74	16988394	38211107	110	4	299	37	66	42	52	54	48	297	6	3	
2012-08-22 00:00:00.000	2012-08-22 06:23:13.710	2012-08-22 23:59:52.024	1345593600000	1345616593710	1345679992024	21	17439310	45528788	0	1	307	40	70	46	45	48	58	305	0	0	
2012-08-23 00:00:00.000	2012-08-23 00:00:05.035	2012-08-23 23:59:49.161	1345680000000	1345680005035	1345766389161	0	18458998	67774240	0	0	326	41	77	48	55	54	51	319	0	0	
2012-08-24 00:00:00.000	2012-08-24 00:00:02.172	2012-08-24 23:59:56.233	1345766400000	1345766402172	1345852796233	58	22584900	62938138	110	3	396	68	93	61	51	65	58	396	4	2	
2012-08-25 00:00:00.000	2012-08-25 00:00:09.242	2012-08-25 23:59:56.031	1345852800000	1345852809242	1345939196031	54	14480843	71584753	118	3	250	33	63	39	29	41	45	245	6	3	
2012-08-26 00:00:00.000	2012-08-26 00:00:10.039	2012-08-26 23:59:47.679	1345939200000	1345939210039	1346025587679	59	11683035	74116474	35	3	207	25	55	29	32	32	34	209	2	1	
2012-08-27 00:00:00.000	2012-08-27 00:00:00.692	2012-08-27 23:59:52.652	1346025600000	1346025600692	1346111992652	18	16670236	69318845	983	1	296	42	73	46	49	42	44	293	2	1	
